Company_Name,Location,Sector,Amount ($),Stage,Year
Unbox Robotics,Bangalore,Technology,1200000.0,bridge,2021-01-01
upGrad,Mumbai,Technology,120000000.0,undisclosed,2021-01-01
Lead School,Mumbai,Technology,30000000.0,series d,2021-01-01
Bizongo,Mumbai,Technology,51000000.0,series c,2021-01-01
FypMoney,Gurugram,Finance,2000000.0,seed,2021-01-01
Urban Company,Delhi,Technology,188000000.0,undisclosed,2021-01-01
Comofi Medtech,Bangalore,Technology,200000.0,undisclosed,2021-01-01
Qube Health,Mumbai,Technology,1100000.0,bridge,2021-01-01
Vitra.ai,Bangalore,Technology,3982000.0,undisclosed,2021-01-01
Taikee,Mumbai,Technology,1000000.0,undisclosed,2021-01-01
Fitterfly,Mumbai,Technology,3000000.0,bridge,2021-01-01
FreeStand,Delhi,Technology,100000.0,undisclosed,2021-01-01
MyDentalPlan,Bangalore,Technology,700000.0,seed,2021-01-01
Freyr Energy,Hyderabad,Energy,2000000.0,undisclosed,2021-01-01
DealShare,Jaipur,Technology,9000000.0,undisclosed,2021-01-01
Tessolve,Bangalore,Technology,40000000.0,undisclosed,2021-01-01
Smart Joules,Delhi,Energy,49000000.0,undisclosed,2021-01-01
ORAI,Bangalore,Technology,400000.0,bridge,2021-01-01
ixamBee,Delhi,Technology,300000.0,seed,2021-01-01
CoinSwitch Kuber,Bangalore,Finance,25000000.0,series b,2021-01-01
Razorpay,Bangalore,Finance,160000000.0,series e,2021-01-01
Uable,Bangalore,Technology,913500.0,seed,2021-01-01
ZFW Hospitality,Delhi,Technology,150000.0,bridge,2021-01-01
Optimized Electrotech,Ahmedabad,Technology,1800000.0,bridge,2021-01-01
Northern Arc,Chennai,Finance,5000000.0,undisclosed,2021-01-01
Chara,Bangalore,Technology,850000.0,seed,2021-01-01
Sirona Hygiene,Delhi,Technology,3000000.0,series a,2021-01-01
Pristyn Care,Gurugram,Technology,53000000.0,series d,2021-01-01
TrulyMadly,Delhi,Technology,2000000.0,bridge,2021-01-01
Vidyakul,Undisclosed,Technology,500000.0,seed,2021-01-01
Jambox Games,Bangalore,Technology,1100000.0,seed,2021-01-01
Miko,Mumbai,Technology,6000000.0,undisclosed,2021-01-01
SuperK,Small Towns,Technology,800000.0,seed,2021-01-01
TagZ Foods,Bangalore,Technology,500000.0,bridge,2021-01-01
Fuel Buddy,Delhi,Energy,1000000.0,undisclosed,2021-01-01
M1xchange,Gurugram,Finance,10000000.0,undisclosed,2021-01-01
Spintly,Goa,Technology,500000.0,undisclosed,2021-01-01
EF Polymer,Rajsamand,Technology,200000.0,undisclosed,2021-01-01
boAt,Delhi,Technology,6000000.0,undisclosed,2021-01-01
TruNativ,Mumbai,Technology,913500.0,seed,2021-01-01
iBus,Bangalore,Telecommunication,21000000.0,undisclosed,2021-01-01
Puresh Daily,Ranchi,Technology,100000.0,seed,2021-01-01
LearnVern,Ahmedabad,Technology,1000000.0,undisclosed,2021-01-01
LimeChat,Faridabad,Technology,7500000.0,seed,2021-01-01
Dybo,Bangalore,Technology,100000.0,seed,2021-01-01
moEVing,Gurugram,Transport,1000000.0,seed,2021-01-01
WeWork India,Bangalore,Health,26000000.0,undisclosed,2021-01-01
Solethreads,Gurugram,Beauty & Fashion,1000000.0,series a,2021-01-01
Beldara,Mumbai,Technology,7400000.0,undisclosed,2021-01-01
CredFlow,Delhi,Finance,2000000.0,seed,2021-01-01
Do Your Thng,Gurugram,Technology,1500000.0,undisclosed,2021-01-01
Oye Rickshaw,Gurugram,Transport,3000000.0,undisclosed,2021-01-01
Legitquest,Delhi,Business Intelligence,600000.0,undisclosed,2021-01-01
Swiggy,Bangalore,Technology,800000000.0,undisclosed,2021-01-01
AntWak,Bangalore,Technology,913500.0,seed,2021-01-01
PlayShifu,Bangalore,Technology,17000000.0,series b,2021-01-01
Pitstop,Bangalore,Transport,3500000.0,bridge,2021-01-01
Lendingkart,Ahmedabad,Finance,15000000.0,unstaged,2021-01-01
CRED,Bangalore,Finance,215000000.0,series d,2021-01-01
Karnival,Bangalore,Technology,2500000.0,seed,2021-01-01
PharmEasy,Mumbai,Technology,350000000.0,series e,2021-01-01
WESS,Mumbai,Energy,2000000.0,seed,2021-01-01
ShopSe,Mumbai,Finance,5500000.0,undisclosed,2021-01-01
Fantasy Akhada,Gurugram,Technology,600000.0,undisclosed,2021-01-01
Rage Coffee,Delhi,Technology,1100000.0,bridge,2021-01-01
Groww,Bangalore,Finance,83000000.0,series d,2021-01-01
Avanti Finance,Bangalore,Finance,26000000.0,series a,2021-01-01
